,text,time,hashed_value
0,@nonquickoatmeal omg you're right. horrifying. delirium. wish you were coming on our weekend adventure!! ,Tue Sep 19 14:47:25 2023,56a9242044dbfdb498f2a28207cdfec2cffa16a661b674414271eaa8ef6eba86
1,Today ill go play some 360 because im sick ,Tue Sep 19 14:47:25 2023,7b0273fa4ba7e609c1c8659621af52565c969d6a39c8df69c7877727a384b1f6
2,25$ only gets me half a tank. ,Tue Sep 19 14:47:25 2023,5f16976f06fec4ca8f7053884fe1b23353a7cb2fb8905fd5d94d5857cdb64f7f
3,Heading out to a work day with church peoples! Then will watch them play paintball; can't play myself due to herniated disc and stuffs ,Tue Sep 19 14:47:25 2023,dc9ebab3641fd0a7b2b908b5520093b14f5bf829161c4701cb4fa6b2d51b458c
4,Miranda reports after having 4 wisdom teeth removed yesterday: &quot;I ate some green tea ice cream in the early am. I couldn't sleep.  &quot;,Tue Sep 19 14:47:25 2023,920a307bc4a848e16f6868010517e2ea6fe6e8d2e706a4c0abfe7d91184b0855
5,"im soo freaking craving a good sandwich...or something, ive been craving to eat SOLID food instead of noodles all the time ",Tue Sep 19 14:47:25 2023,060e1a2606777e8c76ed0e0b8aa2cf72654b9c14bfd7d116bda3bc2e03ec591c
6, its 10 am nd i cant sleep any more nd no1 will wake up,Tue Sep 19 14:47:25 2023,f7e09867a781773d9d45479c6e47d1a5c0ebaaf6e4c4cbb62164d5a21c6b289c
7,I think i'm hungry again  - http://tweet.sg,Tue Sep 19 14:47:25 2023,95edee940b78aee9b55acd8aaa8aa574f9b70464d46cabb665336da9119cfb76
8,@NaomiLovesJB_x Not in the mood to get ready ,Tue Sep 19 14:47:25 2023,f0b97e7f281e5a61ca924c9965457354da6ed3c078dc816f14c5ef3161e5a695
9,Short run today - 1 mile in 9 min 30...  ,Tue Sep 19 14:47:25 2023,ff8b5ff8ac6f7541b0139a06e3c7a90dad61bab76b70eaf2b2c65446cd0445b4
10,My bangs are all messed up. ,Tue Sep 19 14:47:25 2023,f0c6708ca5f4680cd3926f7795523e77ba167993a3941886741b1ccd102e58a8
11,i miss you  http://plurk.com/p/13w4fg,Tue Sep 19 14:47:25 2023,a71adae54068b28a5d645e3d31b6c343b2d672988f2d931de51ce046cc35abc2
12,twitter is in meltdown haha!  I don't want to follow U.S. sports and fashion freaks go away.  It won't even let me delete them! bah ,Tue Sep 19 14:47:25 2023,9073e48a9743a74128222ed2c7955866832fff4c7d688cc2650682b6dcec60ba
13,getting ready to paint my bathroom cabinets ,Tue Sep 19 14:47:25 2023,ee78848b23cd86ee5d99e19e7c35747bffaccd8a847e49a853f13f09b194f63b
14,@kv same thoughts about pre. But its going to be near 30+k in india I guess ,Tue Sep 19 14:47:25 2023,6f78147fa27c29dc24bbabef12bccd42076c90d8b4473628270f6a0c3ec23e9e
15,I'm soooo shleeeeeeeeeepy ,Tue Sep 19 14:47:25 2023,af1277b97ca66afc41f9b6ec4d51dfc9e95ea0eb0d48c68c34458c350a6c1467
16,@dbowen57 tell kels i wish i was there ,Tue Sep 19 14:47:25 2023,904a7aa646cd279025b6b43d0884069087a0b7b467ba3988ee6146d9dcfbe423
17,"my leg is still hurt, ",Tue Sep 19 14:47:25 2023,d9ac05f1f35f2ba78fac510c7056e87782cc2243df800769367b5077bb90e854
18,Yoville's buggy today  Someone call an exterminator.,Tue Sep 19 14:47:25 2023,09bd33c99a1fe6296ae9373ec3c7733fc2a70bf893465838592fc7f7dfb49296
19,really dont wanna leave my class  we have so much fun together!!,Tue Sep 19 14:47:25 2023,a15a1913a7eeec774a6892ebd8d792bc3294f661d73823d221afe8b1b2dd8ed8
20,is too hot  needs ice-cream =D,Tue Sep 19 14:47:25 2023,995ea7f8ecc4dea1ff5e2ba956acd1f864844179c107ace8fe7e8cd50c4dba9f
21,@DatMad how was the party I wanted to come unuh ,Tue Sep 19 14:47:25 2023,2f463e6f8fa13597553a44a2db7017678a19986974e23269761ef0ddeb429836
22,i miss my good friend. been a few days already. ,Tue Sep 19 14:47:25 2023,da4e126bfeddcbcac2ab79a7bc3c74f1236a91034ca74f74ffe6f1746ad3244c
23,can't believe they blocked twitter from work too! ,Tue Sep 19 14:47:25 2023,1bcb7854c60218c89c30cf85ff8b319f4047ed67dff84164e9a9d091f0136555
24,"Lesson learned, no more all nighters when i have to work 430 to 130 ",Tue Sep 19 14:47:25 2023,90b69f21d9ee35c449efda1ace8413bc68ef7b5da067eee933b3351398d942e7
25,Driving back home to dothan! Work this afternoon and ethics assignment  Bleh,Tue Sep 19 14:47:25 2023,f83b11a7a5d0a3b3a33df05396c3e38662696a6b84a53d9ee47974c0111b733e
26,I hate it when people yell  some things are just so unnecessary,Tue Sep 19 14:47:25 2023,b951cc876afdb036dd39ea51af80307c35448dc2e9492528c608173e23522e84
27,http://bit.ly/HudH1  i wish i could sing  im listening to this instead of homework hah,Tue Sep 19 14:47:25 2023,83b8c2550b48891d1437bb25e1e333c3dd531821f77bfa302b476965bb0d1c01
28,im up waaaaay to Early ,Tue Sep 19 14:47:25 2023,380735747648e071227ea2fc8929eef6097697a096608df0b6d9e0d09aa49354
29,@dtanton nah  I don't like iced coffee give me the real thing!,Tue Sep 19 14:47:25 2023,a4625be93a456d6ac0667b1f942f690351e3776f0ae3c23520b7f6ebc5380b8b
30,@iDeKay i love TACO bell aewesum as HECK but mom nevar taeks me there but once a month ,Tue Sep 19 14:47:25 2023,feac50495cd8b83b79c6c8a5c54c900e1ea5a0295f2ed742aef0b4363c781f01
31,@faerieimp ur bb can wifi? Mine can't...  Keep updating then! ,Tue Sep 19 14:47:25 2023,c2c1821674c136f7e0584f2c20b9422a51d3354e1323d3654ac7a188271c1d92
32,Its FINALLY my day off!!! Yeah for me!!!!  It has been a long week.  Now to see what is wrong with my CAR???  ,Tue Sep 19 14:47:25 2023,a0456aa5388b00e65c0d102b66ebc76e948cb8ba4a37b283a27b13d0366bb06e
33,HELP ME HELP ME HELP ME I am bored like hell ,Tue Sep 19 14:47:25 2023,fd899b44159260a70caa325999c488a569b8513cd301c87945da86a90227fcbe
34,@1iranian i'm sorry... i know that not everyone has twitter... i was just retwitting ,Tue Sep 19 14:47:25 2023,f3544018b45ca106e688c5652853c274adf871a4158ecc5388d12b3fb382fd8b
35,"Morning, wok eup too early ",Tue Sep 19 14:47:25 2023,c878526268ca6e498ef8803040c5e88072e1fd836da41b4456959ab827d6be5b
36,Ohh m ge..eurgh cnt hear nething wiv all the drilling goin on opposite..too too loud! bring me some ear muffs argh! ,Tue Sep 19 14:47:25 2023,885fece9cd07b662d775de148357736510bdab4d2e8e9591eeb9a201aa865c8a
37,why won't my background change? ,Tue Sep 19 14:47:25 2023,e91e9bb0e84937ca42e83f1564fb23322f4c84f40b24e1c57ccda795f3f43678
38,boo for Blackberry having extra characters for texts. ,Tue Sep 19 14:47:25 2023,6a9de61ef6af8d89ffcaaba06f9bc00b2feadcb3f043c0f9a7bafd7327ed533e
39,@T_Roguestar  This is why we can't have nice things,Tue Sep 19 14:47:25 2023,06a90d1501acfb810b57456bcc24b328bad17e8aac552d83848d642b543ad1b2
40,housework is calling ,Tue Sep 19 14:47:25 2023,5ff8d587c091f89d6d08329dfd64948f115db1334e45764d0d2d4b4e0455f504
41,Eh where is the sun gone???! ,Tue Sep 19 14:47:25 2023,07c011fa2b723a5516d2b63a875b6b78d185a10ea75eeb1ed600eb69415b7e0b
42,GOOD MORNING FELLOW TWEETERS! packing for my trip to Panama City. Gotta million things to do today including a Bio exam  hope i finish up,Tue Sep 19 14:47:25 2023,684a60e41f9ce41cfe9c208a0984effbfac41b276b8dbcb116bc3a53483d4f15
43,"Yep now gotta fix a flat, my spare tire is flat ",Tue Sep 19 14:47:25 2023,b92842f893e6781c8736efae83b1302712f3ef17940a2b80cbcbfd73588331fb
44,Why does everyone feel that twitter is boring?  I am so going to change their mindset. HAHA.,Tue Sep 19 14:47:25 2023,81251dd5638f13be6753330b9fc665f90316c09454cbf704249290feeb2718b6
