,text,time,hashed_value
0,@nonquickoatmeal omg you're right. horrifying. delirium. wish you were coming on our weekend adventure!! ,Sun May 21 20:07:28 2023,9d5c54bf5f95e2ff72c504a451241d5b5fc50d37596fb9df528e4d969c701536
1,Today ill go play some 360 because im sick ,Sun May 21 20:07:28 2023,0185e523b8ac7938c2f3804d647ae3c497ce1c88cd525ad952f2cc3019ab1646
2,25$ only gets me half a tank. ,Sun May 21 20:07:28 2023,fbfa2ef32a4a2c3355d18f56763f45f2ac3eedc6150f5773b611fcf74073b2b0
3,Heading out to a work day with church peoples! Then will watch them play paintball; can't play myself due to herniated disc and stuffs ,Sun May 21 20:07:28 2023,901d000e6571068c8223978d8f0cf65867d26409df2c11cdcc0e572d5e82bfc4
4,Miranda reports after having 4 wisdom teeth removed yesterday: &quot;I ate some green tea ice cream in the early am. I couldn't sleep.  &quot;,Sun May 21 20:07:28 2023,83e08036997689de204a47eb2b27411fd18801ea6f4aad915dc0dae579a081e7
5,"im soo freaking craving a good sandwich...or something, ive been craving to eat SOLID food instead of noodles all the time ",Sun May 21 20:07:28 2023,6730adae3711f2513b859ba9738d27cc16687e62cc9cf7028b86379c18606456
6, its 10 am nd i cant sleep any more nd no1 will wake up,Sun May 21 20:07:28 2023,0b763ca66299d0f2bce83b4306f95e42a44c4d318dd9abe76f09ed8f3e9d3d06
7,I think i'm hungry again  - http://tweet.sg,Sun May 21 20:07:28 2023,d1c117cf191532daa403e18cd4365bff721f01b3978ecbeaa7a7805bbd31d037
8,@NaomiLovesJB_x Not in the mood to get ready ,Sun May 21 20:07:28 2023,e77717d858a194725814aa55aa8ab802e7aeaece75740b629892b7077df68f0a
9,Short run today - 1 mile in 9 min 30...  ,Sun May 21 20:07:28 2023,69b59fc5ea358c0ed2728547bf9c20f3eb3c204caf65d7af465f7d5b0841efbe
10,My bangs are all messed up. ,Sun May 21 20:07:28 2023,7d74579fff04b36fbf80a12668eee987ac1fc030c7308942087ff8761194fcf6
11,i miss you  http://plurk.com/p/13w4fg,Sun May 21 20:07:28 2023,e4449fdb7dc3037410e50304239eb79a9113893ddcd651d234c048fdc80a52fd
12,twitter is in meltdown haha!  I don't want to follow U.S. sports and fashion freaks go away.  It won't even let me delete them! bah ,Sun May 21 20:07:28 2023,6efc8bb6a07d57a9ddfd0b25d998962099e3a51fea1c0728bcf3c64a8f6502fa
13,getting ready to paint my bathroom cabinets ,Sun May 21 20:07:28 2023,2ef944ae881d8a0bd28e708424980445680a07566086fe88b6c7e3af435a2ad6
14,@kv same thoughts about pre. But its going to be near 30+k in india I guess ,Sun May 21 20:07:28 2023,67194dde7a11bb5309da636096f9a610507405ec4b22fa1df24d5f744e7ee92d
15,I'm soooo shleeeeeeeeeepy ,Sun May 21 20:07:28 2023,09c965fe8e990a3246a0b4638d919b442f0ffb8f4a9dd1ea073a15d3c3d6626d
16,@dbowen57 tell kels i wish i was there ,Sun May 21 20:07:28 2023,f7edd15b95e9c7905fab38dc1866d17e41c12fc4634b79906675368902eda728
17,"my leg is still hurt, ",Sun May 21 20:07:28 2023,73fcfac46c995897b79251bf638fa3c76cc42d214aaae558ff9e3d98dcc1f22a
18,Yoville's buggy today  Someone call an exterminator.,Sun May 21 20:07:28 2023,6c5066acd8982ef7100bd963300634a9ae0d0bffe204b5e771ad59e895638ebd
19,really dont wanna leave my class  we have so much fun together!!,Sun May 21 20:07:28 2023,6ba4b6f1691475ab2498dc7ff94b6fe6fb0f4acf2a638d83bfea466f8664ca4a
20,is too hot  needs ice-cream =D,Sun May 21 20:07:28 2023,09716302796e5d8fa5ffc0539e26a8e8b45d178705f931c3fc60afde628639ba
21,@DatMad how was the party I wanted to come unuh ,Sun May 21 20:07:28 2023,d5853fa71f3b72a63a84e63757ef534ce6a924be7559e2836fa5f2f54933751c
22,i miss my good friend. been a few days already. ,Sun May 21 20:07:28 2023,ad32ef9fffdc19e0a1da9b89e499d22d711edd7c8e347435a701c0eeff775bbe
23,can't believe they blocked twitter from work too! ,Sun May 21 20:07:28 2023,c20accc7d1a1fabffae39ee09c1845b3c6c7c02e6dbdb129654372eeb94cc214
24,"Lesson learned, no more all nighters when i have to work 430 to 130 ",Sun May 21 20:07:28 2023,4988f2df27e6eb1903fc5578a973d5e0440290599cb355a1cf9f3e9b32907cce
25,Driving back home to dothan! Work this afternoon and ethics assignment  Bleh,Sun May 21 20:07:28 2023,30d5c1b8f4078f79655a2804a4fe3861db159145cdc802f32258baf72b35d6e7
26,I hate it when people yell  some things are just so unnecessary,Sun May 21 20:07:28 2023,cfd5108abca430ee2fe0677cdbface853ad30342360bea4a225fd9ab2b2eeb31
27,http://bit.ly/HudH1  i wish i could sing  im listening to this instead of homework hah,Sun May 21 20:07:28 2023,75c691f813baac76523c26669e8c4d66932b7399764630a69263a98392592668
28,im up waaaaay to Early ,Sun May 21 20:07:28 2023,0c8c842188013ef430a0c27865da746c618f26286ee8aa8169a06d5494af0506
29,@dtanton nah  I don't like iced coffee give me the real thing!,Sun May 21 20:07:28 2023,44959bce59e9d7e37bb9be4cce9fc96aad1e05bb9406f71c2fc6b823aa9742ad
30,@iDeKay i love TACO bell aewesum as HECK but mom nevar taeks me there but once a month ,Sun May 21 20:07:28 2023,db499a7acc6ae4ef121357722aaf73f569ad06a1fd752cd84e941caa27e06da3
31,@faerieimp ur bb can wifi? Mine can't...  Keep updating then! ,Sun May 21 20:07:28 2023,5d5a4c79aead0080b4144026de86573ba4a0639f2f6ef52ce9878cc426143163
32,Its FINALLY my day off!!! Yeah for me!!!!  It has been a long week.  Now to see what is wrong with my CAR???  ,Sun May 21 20:07:28 2023,d8a53d51292c8bfa11e0826d16619c9d5f4711873010b3f2db7b6175b77855cc
33,HELP ME HELP ME HELP ME I am bored like hell ,Sun May 21 20:07:28 2023,bfeabc02e9fa8ccf574dd2c9ae1abaa4c684510be2a656a1896d44d246a8edea
34,@1iranian i'm sorry... i know that not everyone has twitter... i was just retwitting ,Sun May 21 20:07:28 2023,52b39e3289806f566d278e3ed033635086d7ce67da0c4a22d51118af7765638e
35,"Morning, wok eup too early ",Sun May 21 20:07:28 2023,4f63c2461d78327aff52a4f69657ed51dfe10607df7c342d830de5d5177e7368
36,Ohh m ge..eurgh cnt hear nething wiv all the drilling goin on opposite..too too loud! bring me some ear muffs argh! ,Sun May 21 20:07:28 2023,2affb76e5080a37f62055cf03bcadddbb616da9ba3e2d057344065b5e7985eb3
37,why won't my background change? ,Sun May 21 20:07:28 2023,cf1568a57044464655ceffb9149ccbe72df0588474b78d229597b931ea42d4bb
38,boo for Blackberry having extra characters for texts. ,Sun May 21 20:07:28 2023,3aba9fdd8f49bf57f097b28811d8bdc6bd0b66950615aece1e973d508e4ec92c
39,@T_Roguestar  This is why we can't have nice things,Sun May 21 20:07:28 2023,fc04fc6fa421b2962226da5f968be743f26bf889780b3c861158c2aff99a5e2d
40,housework is calling ,Sun May 21 20:07:28 2023,d7e7ec5ae783a054e64990ce9f2e8691e039d2a2d506f68ad385db12b5424615
41,Eh where is the sun gone???! ,Sun May 21 20:07:28 2023,a52a10c355fc85a1574f78d003e645de6f1afe085c0c390f7b2cea600f3571c9
42,GOOD MORNING FELLOW TWEETERS! packing for my trip to Panama City. Gotta million things to do today including a Bio exam  hope i finish up,Sun May 21 20:07:28 2023,70b9a8e51d714e7308c0fd25222d4ecdf4b7e496a42e5fb95a4652285c895261
43,"Yep now gotta fix a flat, my spare tire is flat ",Sun May 21 20:07:28 2023,e0972fe6257aa044db6be39562d7029db497fbfaf03068759257d40f57558a9d
44,Why does everyone feel that twitter is boring?  I am so going to change their mindset. HAHA.,Sun May 21 20:07:28 2023,15c5285927883772857fa850abeb92347d363283c635cfd545cadc0f552abf87
45,Kid in class got my sn. Smh* it was Jo ,Sun May 21 20:07:28 2023,c3d749170b6659cdcd1d6aa2668e7a404859a08d624e8e1335a8284e8468d8a2
46,How did I reach 25 without a single best &quot;friend&quot; male or female? I have plenty of &quot;associates&quot; though. Clearly this isn't healthy. ,Sun May 21 20:07:28 2023,bf333547fb2f8bf8a201cc9354d7281a23a3fbca4f8aea4ee46918842985ff70
47,Cant wait to see my baby on tuesdayyy. . miss u   Xxxxxxx,Sun May 21 20:07:28 2023,4736e1835959096cd6b3d6cc01a9f8ad023238a76deb344152e8c2b2540ff85d
48,floods in the Czech Rep. AGAIN ,Sun May 21 20:07:28 2023,d77f42415900b21046226ad8b3b0bef682a0c2a352ee3ea99e2a2e4c88f26bdd
49,Rolled my ankle at work last night. Don't know how well I'm going to do with training now.  http://dailymile.com/e/zHX,Sun May 21 20:07:28 2023,ba6d9dc8c25773badc1524acfa4b9b4567d4a686524f697f12f8c2e138459c8a
50,@mbd if we 5 are successful: 200 sadarses. If we are not: 5 sadarses ,Sun May 21 20:07:28 2023,5c0d10a3e4c016291fe8c94001272133cc507f54cd6c39d2e8fe3c9901cd0d96
51,Still looking for good news which is represent peace but i think they are really few ,Sun May 21 20:07:28 2023,20d58f771adeab5cfecc849810825677783661f665e4d16f5274ee895ee52da5
52,"why did i choose MBA!!!! whats the point in doing 1 thing that everyone else is doing, i thought it didn't need brains  uaaaaaa",Sun May 21 20:07:28 2023,46c060918ce8de4ce9ca363674c66a1e372ba0debfd5657b43af31071ad0c01f
53,"I miss you , my honey  Come back......... please",Sun May 21 20:07:28 2023,661c0512a5d0f0f22c641178504eb2fb8ba5575b49efeff5912cb4ebe14a55bc
54,awh am currently an insomniac I CNT SLEEEPP  need sick rest  tomrw is guna suckk,Sun May 21 20:07:28 2023,f2c1c257246c91c7ccaa95c28bd9f4c5a9d12c81d97cb16111f60271ac51cdec
55,"@Emsparks i had to time to go buy one before dance either, and right now i cant be bothered to go to the shop as its to hot! ",Sun May 21 20:07:28 2023,fa822f236235d611c1f3c5db72dfeecce6ca067a5873980b61e3079bed1ef76b
56,Sick today  coding from the couch.,Sun May 21 20:07:28 2023,dbd996c53bde639f348187d785415629d7de69b402cac86dcc9ce5c2f27a2f61
57,school  but last day =D,Sun May 21 20:07:28 2023,7af21673cf00395a14695e18ba98adc715812dc97dee75fc61b0b1adbb51556c
58,such sad news this morning...my thoughts and prayers are with my friend brian and his family ,Sun May 21 20:07:28 2023,1ac8f6528f216dff500daa435fff605dbe8c3c44245700156c0873a545ff8d34
59,such sad news this morning...my thoughts and prayers are with my friend brian and his family ,Sun May 21 20:07:28 2023,1ac8f6528f216dff500daa435fff605dbe8c3c44245700156c0873a545ff8d34
60,the weather is soooo great and IÂ´m sitting here in the office ,Sun May 21 20:07:28 2023,2cc2dbb2a56288bf4ce483d911a3f7cf406031539c8be2bcb6642755ae9876a4
61,"@PLPhotography cool thats wzzup, damn u saw it already lol , I jealous.. shit tickets prob sold out this week ",Sun May 21 20:07:28 2023,1e34c9128698c686c2f56c7f4f93b25f072b421b0bca84043b52d59dbc8c9534
62,Taking Grandma to chemo today. I hate hospitals. ,Sun May 21 20:07:28 2023,d93b17279c07feb84ace456047e472616464a346445360d66d9bc1ae897cfee5
63,delaying the inevitable... Work in half an hour ,Sun May 21 20:07:28 2023,b307227caebb5ac8698f2ed9eee6f6bce723040e730389db4d285b60100504ac
64,@KennyAshleyxoxo i need to know the same ... ,Sun May 21 20:07:28 2023,2e69b1999c90157ae3812097b7d8619c72cafecb1b616066655895481566d9b3
65,Too many people at the starbucks drive thru!!!!!!!!!!! Ahhhhhh! I guess coffee from the grungy old office coffee pot it is ,Sun May 21 20:07:28 2023,c0244fa19bdfbe8c01ad4ac8a2498b3f87966d27bd3b3bdc4e9a0d2909291b11
66,i guess ill go back to work...   ,Sun May 21 20:07:28 2023,6f95dc5910f76074e3968c9722c4a58c8376818284f0235fd98812a013a0aa03
67,Missing the boyfriend. ,Sun May 21 20:07:28 2023,f683f4bcf26d73e728d7cb01b07c26f39450b46ecd706b317258173cf7273ff8
68,I miss my hubby  gk ketemu 2 hari...hiks,Sun May 21 20:07:28 2023,772571812c25cefdea7382eb5a8e20f7d9d725b1f035f58be495bd6652860a7d
69,@sivajayaraman please - I have stopped taking tea/coffee from the vending machine.  I drink a glass of hot water instead ,Sun May 21 20:07:28 2023,1af22c579913e7db356f582504f3c51a60cc29759c5d84f2b22bb2efec0b8e52
70,Sitting in traffic just crawling along I hate construction ,Sun May 21 20:07:28 2023,8acb0fbe560fe97ed0cb9fd0c90f1c5710f82d3dddd0176886f511496a484062
71,I can't wrinkle my nose anymore ,Sun May 21 20:07:28 2023,59295f7a55cdfdb709fa82214210ebf5b0b5e9f1a04bffb5e8fb554265e8c19d
72,@purplerazberryy TY bff. i feel like i haven't seen U in months. hope U all have fun @ Ronnie's party.  i will take all the drunk dials!;D,Sun May 21 20:07:28 2023,0908d82a75559255c7ed9a296deda39148231606dea925f5bf5bf92c8ee951c6
73,wishes she was reading a novel instead of faking study for her exam tomorrow. Pretending to study is really exhausting. I'm so run-down ,Sun May 21 20:07:28 2023,52cc5692d3a32abbcc7006c9544839e65a040ff05c8a158ab8e3b31da8287540
74,Wants this pain to go away so I can go to YATEC. But I probably won't be able to go. Blah ,Sun May 21 20:07:28 2023,a51a905518ffb3a94342372aa7d2ee5f831177fadbe955ff00d39da5394cae51
